Student ID,Name,Age,Gender,10th Grade %,12th Grade %,School Board,Stream in 12th,Favorite Subject,Favorite Subject Marks,Top Scored Subject,Top Subject Marks,Hobby,Problem Solving Skill,Communication Skill,Leadership Skill,Creative Thinking,Analytical Ability,Social Behavior,Preferred Career Paths,Long Term Goal,Recommended Career,Alternative Career Options
STU0001,Samantha Hanson,23,Other,95.75,98.9,CBSE,Science PCM,Mathematics,96.34,Mathematics,88.25,Sketching,Excellent,Average,Poor,Good,Excellent,Ambivert,Mechanical Engineering,Higher Studies,Mechanical Engineering,"Tax Consultant, Teacher (Biology/Science)"
STU0002,Carlos Sims,19,Other,67.51,65.11,ICSE,Commerce,Accountancy,81.77,Accountancy,70.19,Budget Planning,Good,Excellent,Good,Poor,Good,Ambivert,Bank Manager/Officer,Government Job,Bank Manager/Officer,"B.Sc. in Physics, Chemistry, Mathematics, Environmental Scientist"
STU0003,Dr. Bradley Rowe,23,Male,84.43,77.78,ICSE,Science PCM,Physics,85.7,Physics,75.1,Coding,Excellent,Average,Good,Good,Excellent,Introvert,Electrical Engineering,Private Job,Electrical Engineering,"Physiotherapist, Tax Consultant"
STU0004,Jimmy Anderson DVM,25,Other,71.44,73.84,CBSE,Arts,Political Science,72.77,History,95.09,Debating,Good,Excellent,Good,Poor,Excellent,Introvert,"Lawyer (Corporate, Criminal, Civil Law)",Private Job,"Lawyer (Corporate, Criminal, Civil Law)","Public Relations Officer, Dentist"
STU0005,Shawn Turner,20,Male,90.57,84.17,CBSE,Science PCB,Biology,98.56,Chemistry,97.79,DIY Projects,Excellent,Good,Average,Good,Average,Extrovert,Dentist,Private Job,Dentist,"Pharmacist, Nurse"
STU0006,Elizabeth Munoz DDS,22,Female,91.45,90.34,State Board,Commerce,Economics,98.43,Mathematics,80.57,Writing Essays,Excellent,Good,Excellent,Good,Excellent,Introvert,Economist,Higher Studies,Economist,"Cost and Management Accountant (CMA), Entrepreneur/Business Owner"
STU0007,Terri David,21,Male,77.81,73.81,CBSE,Arts,History,89.32,History,88.6,Listening to Music,Good,Excellent,Poor,Average,Excellent,Extrovert,Psychologist/Counselor,Private Job,Psychologist/Counselor,"Civil Services Officer (IAS, IPS, IFS), Chartered Accountant (CA)"
STU0008,Michael King,21,Female,89.0,72.62,CBSE,Science PCB,Biology,83.34,Biology,87.71,Cooking,Good,Poor,Poor,Good,Excellent,Ambivert,Food Technologist,Private Job,Food Technologist,"Dentist, Cost and Management Accountant (CMA)"
STU0009,Krista Obrien,24,Other,65.18,82.72,ICSE,Arts,English Literature,88.5,English Literature,80.75,Editing Essays,Good,Excellent,Poor,Excellent,Average,Ambivert,Content Writer/Editor,Private Job,Content Writer/Editor,"Entrepreneur/Business Owner, Teacher (Commerce/Economics)"
STU0010,Michelle Zamora,22,Female,77.87,95.98,State Board,Science PCM,Mathematics,85.34,Mathematics,98.93,Writing,Excellent,Excellent,Excellent,Good,Excellent,Introvert,"B.Sc. in Physics, Chemistry, Mathematics",Higher Studies,"B.Sc. in Physics, Chemistry, Mathematics","Bachelor of Architecture (B.Arch), Nurse"
STU0011,Audrey Garrison,20,Female,90.15,96.85,CBSE,Science PCB,Biology,91.49,Chemistry,77.49,Writing,Excellent,Excellent,Good,Average,Poor,Ambivert,Doctor,Higher Studies,Doctor,"B.Sc. in Physics, Chemistry, Mathematics, Civil Services Officer (IAS, IPS, IFS)"
STU0012,Regina Gonzalez,18,Male,81.41,69.26,State Board,Arts,History,96.74,History,74.16,Mentoring Younger Students,Good,Excellent,Good,Poor,Poor,Ambivert,Teacher/Professor (School or College level),Government Job,Teacher/Professor (School or College level),"Lawyer (Corporate, Criminal, Civil Law), Bank Manager/Officer"
STU0013,Daniel Peterson,24,Female,72.9,82.38,ICSE,Science PCB,Chemistry,82.19,Chemistry,89.08,Writing,Good,Good,Average,Poor,Average,Introvert,Homeopath/Ayurvedic Practitioner,Private Job,Homeopath/Ayurvedic Practitioner,"Forensic Scientist, Bachelor of Architecture (B.Arch)"
STU0014,Joshua Miller,18,Male,85.63,83.23,CBSE,Science PCM,Physics,81.06,Mathematics,99.49,Reading Adventure Books,Excellent,Excellent,Poor,Good,Excellent,Ambivert,Pilot Training (Commercial Pilot License – CPL),Government Job,Pilot Training (Commercial Pilot License – CPL),"Dentist, Aerospace/Aeronautical Engineering"
STU0015,Jacqueline King,20,Male,97.12,96.53,ICSE,Science PCB,Biology,76.76,Chemistry,98.59,Reading,Excellent,Excellent,Good,Poor,Average,Ambivert,Doctor,Higher Studies,Doctor,"Dentist, Psychologist/Counselor"
STU0016,Amanda Avery,20,Other,94.92,82.11,State Board,Science PCM,Physics,82.12,Physics,85.63,Sketching,Excellent,Good,Good,Excellent,Excellent,Extrovert,Bachelor of Architecture (B.Arch),Private Job,Bachelor of Architecture (B.Arch),"Aerospace/Aeronautical Engineering, Stock Broker"
STU0017,Olivia Greene,19,Male,88.58,83.65,ICSE,Science PCB,Biology,78.86,Biology,99.95,Storytelling,Good,Excellent,Good,Poor,Excellent,Introvert,Nurse,Government Job,Nurse,"Civil Services Officer (IAS, IPS, IFS), Teacher (Commerce/Economics)"
STU0018,Thomas Jones,25,Other,73.7,66.52,CBSE,Science PCM,Physics,87.53,Mathematics,88.97,Exploring Maps,Excellent,Excellent,Good,Good,Excellent,Ambivert,Marine Engineering (Merchant Navy),Government Job,Marine Engineering (Merchant Navy),"Lawyer (Corporate, Criminal, Civil Law), Physiotherapist"
STU0019,Sherry Williams,24,Male,74.34,75.98,ICSE,Arts,History,93.04,Geography,76.95,Reading Travel Blogs,Good,Excellent,Average,Good,Poor,Extrovert,"Tourism & Hospitality Professional (Travel Agent, Event Planner)",Private Job,"Tourism & Hospitality Professional (Travel Agent, Event Planner)","Food Technologist, Nurse"
STU0020,David Taylor,19,Other,78.0,81.94,CBSE,Arts,History,95.66,Geography,78.77,Sketching Diagrams,Good,Excellent,Good,Good,Excellent,Introvert,Teacher/Professor (School or College level),Government Job,Teacher/Professor (School or College level),"Company Secretary (CS), Bank Manager/Officer"
STU0021,Kristin Manning,22,Female,69.62,81.29,State Board,Arts,Political Science,89.03,Political Science,99.67,Storytelling,Good,Excellent,Excellent,Excellent,Excellent,Extrovert,Public Relations Officer,Private Job,Public Relations Officer,"Dentist, Company Secretary (CS)"
STU0022,Robert Morris,23,Other,90.17,76.09,State Board,Commerce,Economics,75.77,Economics,78.99,Budget Planning,Excellent,Average,Poor,Excellent,Excellent,Extrovert,Financial Analyst,Private Job,Financial Analyst,"Civil Engineering, Psychologist/Counselor"
STU0023,Hannah Lopez PhD,25,Male,98.76,80.61,ICSE,Science PCM,Biology,88.85,Physics,77.65,Tech Exploration,Excellent,Good,Excellent,Good,Excellent,Extrovert,Biomedical Engineering,Higher Studies,Biomedical Engineering,"Forensic Scientist, Bachelor of Architecture (B.Arch)"
STU0024,Curtis Taylor,24,Female,72.85,72.79,State Board,Arts,History,88.29,Political Science,99.44,Debating,Good,Excellent,Poor,Poor,Excellent,Introvert,"Lawyer (Corporate, Criminal, Civil Law)",Private Job,"Lawyer (Corporate, Criminal, Civil Law)","Veterinarian, B.Sc. in Physics, Chemistry, Mathematics"
STU0025,Kelly Cook MD,18,Female,71.92,89.97,State Board,Science PCM,Physics,82.06,Mathematics,77.92,Reading Novels,Excellent,Excellent,Excellent,Good,Excellent,Introvert,Civil Engineering,Higher Studies,Civil Engineering,"Dietitian/Nutritionist, Electronics & Communication Engineering"
